Iteration,Mean,Std
1.0,604.8127655982971,412.5393971103278
2.0,497.659818092982,330.3422191574769
3.0,506.5125189622243,338.5297766708349
4.0,471.9346125125885,315.75992226725856
5.0,453.27357093493146,303.0347025007811
6.0,457.3717269897461,306.1833814574524
7.0,443.4417056242625,296.65106536986826
8.0,432.1578350861867,288.706060021164
9.0,440.4459590911865,294.92084693527397
10.0,424.2276568412781,283.4565974545071
11.0,401.997993628184,267.6963622539393
12.0,411.0389757156372,274.33803879542666
13.0,427.6073288122813,285.6731544806183
14.0,414.226411819458,277.03264630287896
15.0,404.2391923268636,269.87041923864734
16.0,424.20590742429096,284.35664610584536
17.0,412.93237535158795,276.10249402391287
18.0,406.6405026912689,272.8266582477486
19.0,423.75594385464984,284.55026345015636
20.0,442.97016127904254,297.9537233652068
21.0,451.64728633562726,304.98349498244863
22.0,487.55524587631226,330.1878340686857
23.0,549.7918933232626,372.99273435124127
24.0,543.9619772434235,371.77474473685163
25.0,562.7420913378397,386.17475921524965
