Iteration,Worker,Time
1.0,labmovil3-All-Series,787.2945921421051
2.0,labmovil3-All-Series,701.7981724739075
3.0,labmovil3-All-Series,705.6624941825867
4.0,labmovil3-All-Series,652.6897904872894
5.0,labmovil3-All-Series,629.2555804252625
6.0,labmovil3-All-Series,629.654168844223
7.0,labmovil3-All-Series,610.5581707954407
8.0,labmovil3-All-Series,597.6008820533752
9.0,labmovil3-All-Series,606.956481218338
10.0,labmovil3-All-Series,586.3810079097748
11.0,labmovil3-All-Series,557.0487620830536
12.0,labmovil3-All-Series,566.5425291061401
13.0,labmovil3-All-Series,598.9863481521606
14.0,labmovil3-All-Series,570.0772726535797
15.0,labmovil3-All-Series,555.6332132816315
16.0,labmovil3-All-Series,583.1008224487305
17.0,labmovil3-All-Series,570.5528779029846
18.0,labmovil3-All-Series,550.6569693088531
19.0,labmovil3-All-Series,578.5419049263
20.0,labmovil3-All-Series,608.4846138954163
21.0,labmovil3-All-Series,612.9794609546661
22.0,labmovil3-All-Series,667.2373676300049
23.0,labmovil3-All-Series,779.9901576042175
24.0,labmovil3-All-Series,731.9237809181213
25.0,labmovil3-All-Series,752.411452293396
1.0,labmovil2-All-Series,33.667259216308594
2.0,labmovil2-All-Series,31.67496132850647
3.0,labmovil2-All-Series,29.89896559715271
4.0,labmovil2-All-Series,27.92986536026001
5.0,labmovil2-All-Series,26.877785444259644
6.0,labmovil2-All-Series,27.193495273590088
7.0,labmovil2-All-Series,26.631545543670654
8.0,labmovil2-All-Series,26.174448251724243
9.0,labmovil2-All-Series,26.021340370178223
10.0,labmovil2-All-Series,25.65896248817444
11.0,labmovil2-All-Series,25.37152624130249
12.0,labmovil2-All-Series,25.462536334991455
13.0,labmovil2-All-Series,25.080872774124146
14.0,labmovil2-All-Series,25.007691144943237
15.0,labmovil2-All-Series,25.1365909576416
16.0,labmovil2-All-Series,24.832899570465088
17.0,labmovil2-All-Series,24.74256157875061
18.0,labmovil2-All-Series,24.638686895370483
19.0,labmovil2-All-Series,24.67327070236206
20.0,labmovil2-All-Series,24.626349449157715
21.0,labmovil2-All-Series,24.569095611572266
22.0,labmovil2-All-Series,24.455883026123047
23.0,labmovil2-All-Series,23.667288541793823
24.0,labmovil2-All-Series,24.74295210838318
25.0,labmovil2-All-Series,24.381124019622803
1.0,labmovil4-All-Series,993.4764454364777
2.0,labmovil4-All-Series,759.506320476532
3.0,labmovil4-All-Series,783.9760971069336
4.0,labmovil4-All-Series,735.1841816902161
5.0,labmovil4-All-Series,703.6873469352722
6.0,labmovil4-All-Series,715.2675168514252
7.0,labmovil4-All-Series,693.1354005336761
8.0,labmovil4-All-Series,672.6981749534607
9.0,labmovil4-All-Series,688.3600556850433
10.0,labmovil4-All-Series,660.643000125885
11.0,labmovil4-All-Series,623.5736925601959
12.0,labmovil4-All-Series,641.11186170578
13.0,labmovil4-All-Series,658.7547655105591
14.0,labmovil4-All-Series,647.5942716598511
15.0,labmovil4-All-Series,631.9477727413177
16.0,labmovil4-All-Series,664.6840002536774
17.0,labmovil4-All-Series,643.5016865730286
18.0,labmovil4-All-Series,644.6258518695831
19.0,labmovil4-All-Series,668.0526559352875
20.0,labmovil4-All-Series,695.7995204925537
21.0,labmovil4-All-Series,717.3933024406433
22.0,labmovil4-All-Series,770.9724869728088
23.0,labmovil4-All-Series,845.7182338237762
24.0,labmovil4-All-Series,875.2191987037659
25.0,labmovil4-All-Series,911.4336977005005
