Iteration,Worker,Time
1.0,labmovil3-All-Series,870.4729294776917
2.0,labmovil3-All-Series,644.6418442726135
3.0,labmovil3-All-Series,525.168651342392
4.0,labmovil3-All-Series,477.18452858924866
5.0,labmovil3-All-Series,456.6018216609955
6.0,labmovil3-All-Series,457.9566237926483
7.0,labmovil3-All-Series,468.68198251724243
8.0,labmovil3-All-Series,456.9479022026062
9.0,labmovil3-All-Series,464.22806549072266
10.0,labmovil3-All-Series,486.62202405929565
11.0,labmovil3-All-Series,479.69194531440735
12.0,labmovil3-All-Series,490.2051498889923
13.0,labmovil3-All-Series,485.3507704734802
14.0,labmovil3-All-Series,507.7847669124603
15.0,labmovil3-All-Series,577.9834892749786
16.0,labmovil3-All-Series,511.69863653182983
18.0,labmovil3-All-Series,514.4856841564178
20.0,labmovil3-All-Series,570.147664308548
22.0,labmovil3-All-Series,750.1514220237732
23.0,labmovil3-All-Series,945.512303352356
24.0,labmovil3-All-Series,875.4798376560211
25.0,labmovil3-All-Series,1284.5892224311829
1.0,labmovil4-All-Series,876.6774661540985
2.0,labmovil4-All-Series,653.4458568096161
3.0,labmovil4-All-Series,529.1896693706512
4.0,labmovil4-All-Series,476.3329954147339
5.0,labmovil4-All-Series,454.36680269241333
6.0,labmovil4-All-Series,457.12440729141235
7.0,labmovil4-All-Series,470.1720428466797
8.0,labmovil4-All-Series,456.60925245285034
9.0,labmovil4-All-Series,466.053498506546
10.0,labmovil4-All-Series,487.6086046695709
11.0,labmovil4-All-Series,479.35852217674255
12.0,labmovil4-All-Series,492.2438187599182
13.0,labmovil4-All-Series,486.4892086982727
14.0,labmovil4-All-Series,510.1578879356384
15.0,labmovil4-All-Series,580.5130953788757
16.0,labmovil4-All-Series,618.2863070964813
18.0,labmovil4-All-Series,517.4651939868927
20.0,labmovil4-All-Series,573.7940888404846
22.0,labmovil4-All-Series,729.618246793747
23.0,labmovil4-All-Series,770.0147626399994
24.0,labmovil4-All-Series,879.9450294971466
25.0,labmovil4-All-Series,1583.2572174072266
1.0,labmovil2-All-Series,982.5920960903168
2.0,labmovil2-All-Series,748.0719878673553
3.0,labmovil2-All-Series,600.1734437942505
4.0,labmovil2-All-Series,546.2209987640381
5.0,labmovil2-All-Series,520.0451879501343
6.0,labmovil2-All-Series,525.5628197193146
7.0,labmovil2-All-Series,541.7995834350586
8.0,labmovil2-All-Series,523.3579878807068
9.0,labmovil2-All-Series,536.3839173316956
10.0,labmovil2-All-Series,563.5413229465485
11.0,labmovil2-All-Series,550.9166190624237
12.0,labmovil2-All-Series,559.7969636917114
13.0,labmovil2-All-Series,561.7263886928558
14.0,labmovil2-All-Series,585.7382688522339
15.0,labmovil2-All-Series,483.848108291626
16.0,labmovil2-All-Series,469.4796380996704
18.0,labmovil2-All-Series,577.8616309165955
20.0,labmovil2-All-Series,656.904155254364
22.0,labmovil2-All-Series,858.9990513324738
23.0,labmovil2-All-Series,1028.6991908550262
24.0,labmovil2-All-Series,1051.8928003311157
25.0,labmovil2-All-Series,1936.8491275310516
