Iteration,Worker,Time
1.0,labmovil3-All-Series,875.1184933185577
3.0,labmovil3-All-Series,528.5887448787689
4.0,labmovil3-All-Series,475.7577097415924
6.0,labmovil3-All-Series,456.3601291179657
7.0,labmovil3-All-Series,469.86499404907227
8.0,labmovil3-All-Series,457.3749439716339
9.0,labmovil3-All-Series,465.7630248069763
10.0,labmovil3-All-Series,487.56999135017395
11.0,labmovil3-All-Series,475.95776748657227
12.0,labmovil3-All-Series,492.44850158691406
13.0,labmovil3-All-Series,480.2896840572357
14.0,labmovil3-All-Series,504.96450781822205
15.0,labmovil3-All-Series,473.9577009677887
16.0,labmovil3-All-Series,513.4653835296631
17.0,labmovil3-All-Series,505.21763014793396
18.0,labmovil3-All-Series,517.313410282135
19.0,labmovil3-All-Series,521.4906167984009
20.0,labmovil3-All-Series,580.0192074775696
21.0,labmovil3-All-Series,632.3052732944489
22.0,labmovil3-All-Series,728.006046295166
23.0,labmovil3-All-Series,857.0952289104462
24.0,labmovil3-All-Series,885.0494294166565
25.0,labmovil3-All-Series,1135.8306267261505
1.0,labmovil2-All-Series,1007.1267590522766
3.0,labmovil2-All-Series,588.3312442302704
4.0,labmovil2-All-Series,550.0191180706024
6.0,labmovil2-All-Series,518.1992764472961
7.0,labmovil2-All-Series,541.7330434322357
8.0,labmovil2-All-Series,529.4474666118622
9.0,labmovil2-All-Series,534.3047068119049
10.0,labmovil2-All-Series,562.3039972782135
11.0,labmovil2-All-Series,556.1374804973602
12.0,labmovil2-All-Series,568.8339486122131
13.0,labmovil2-All-Series,564.7885022163391
14.0,labmovil2-All-Series,587.7266023159027
15.0,labmovil2-All-Series,679.5559122562408
16.0,labmovil2-All-Series,597.9178929328918
17.0,labmovil2-All-Series,582.4385576248169
18.0,labmovil2-All-Series,598.8303623199463
19.0,labmovil2-All-Series,607.4690344333649
20.0,labmovil2-All-Series,668.0296914577484
21.0,labmovil2-All-Series,734.5754861831665
22.0,labmovil2-All-Series,886.5443248748779
23.0,labmovil2-All-Series,1026.1834325790405
24.0,labmovil2-All-Series,1058.2095077037811
25.0,labmovil2-All-Series,2521.8355996608734
1.0,labmovil4-All-Series,875.5330083370209
3.0,labmovil4-All-Series,528.635858297348
4.0,labmovil4-All-Series,478.97677183151245
6.0,labmovil4-All-Series,461.9317891597748
7.0,labmovil4-All-Series,472.5701599121094
8.0,labmovil4-All-Series,459.86673188209534
9.0,labmovil4-All-Series,468.85402607917786
10.0,labmovil4-All-Series,489.61482310295105
11.0,labmovil4-All-Series,482.8983676433563
12.0,labmovil4-All-Series,488.11938309669495
13.0,labmovil4-All-Series,491.36584091186523
14.0,labmovil4-All-Series,514.378048658371
15.0,labmovil4-All-Series,523.6784021854401
16.0,labmovil4-All-Series,515.2152259349823
17.0,labmovil4-All-Series,506.0565483570099
18.0,labmovil4-All-Series,518.1793248653412
19.0,labmovil4-All-Series,540.4875092506409
20.0,labmovil4-All-Series,576.8220210075378
21.0,labmovil4-All-Series,618.0823142528534
22.0,labmovil4-All-Series,741.0955216884613
23.0,labmovil4-All-Series,863.5936250686646
24.0,labmovil4-All-Series,885.522346496582
25.0,labmovil4-All-Series,1296.4991662502289
