Iteration,Worker,Time
1.0,labmovil2-All-Series,1083.524589061737
2.0,labmovil2-All-Series,821.8416087627411
3.0,labmovil2-All-Series,602.9628050327301
4.0,labmovil2-All-Series,545.6991693973541
5.0,labmovil2-All-Series,418.9544503688812
6.0,labmovil2-All-Series,510.07011246681213
7.0,labmovil2-All-Series,537.5835573673248
8.0,labmovil2-All-Series,521.4660410881042
9.0,labmovil2-All-Series,530.8651394844055
10.0,labmovil2-All-Series,558.6251227855682
11.0,labmovil2-All-Series,546.6315257549286
12.0,labmovil2-All-Series,557.1749501228333
13.0,labmovil2-All-Series,555.2590086460114
14.0,labmovil2-All-Series,582.548148393631
15.0,labmovil2-All-Series,604.8158745765686
16.0,labmovil2-All-Series,592.8515570163727
17.0,labmovil2-All-Series,572.3563098907471
18.0,labmovil2-All-Series,596.2268013954163
19.0,labmovil2-All-Series,597.9466104507446
20.0,labmovil2-All-Series,667.0670335292816
21.0,labmovil2-All-Series,741.0206408500671
22.0,labmovil2-All-Series,871.135370016098
23.0,labmovil2-All-Series,1054.666139125824
24.0,labmovil2-All-Series,1050.8892059326172
25.0,labmovil2-All-Series,2821.777875185013
1.0,labmovil4-All-Series,874.4898281097412
2.0,labmovil4-All-Series,710.1528279781342
3.0,labmovil4-All-Series,526.0893394947052
4.0,labmovil4-All-Series,477.9186987876892
5.0,labmovil4-All-Series,545.6093890666962
6.0,labmovil4-All-Series,456.0459430217743
7.0,labmovil4-All-Series,466.49162316322327
8.0,labmovil4-All-Series,454.76900005340576
9.0,labmovil4-All-Series,463.7923924922943
10.0,labmovil4-All-Series,484.0221757888794
11.0,labmovil4-All-Series,478.83247995376587
12.0,labmovil4-All-Series,486.1960668563843
13.0,labmovil4-All-Series,481.18981528282166
14.0,labmovil4-All-Series,506.356981754303
15.0,labmovil4-All-Series,521.6337502002716
16.0,labmovil4-All-Series,512.4420421123505
17.0,labmovil4-All-Series,506.12315011024475
18.0,labmovil4-All-Series,511.1058030128479
19.0,labmovil4-All-Series,520.4365921020508
20.0,labmovil4-All-Series,573.6217799186707
21.0,labmovil4-All-Series,611.0599112510681
22.0,labmovil4-All-Series,737.6053283214569
23.0,labmovil4-All-Series,824.9943542480469
24.0,labmovil4-All-Series,873.9434328079224
25.0,labmovil4-All-Series,889.7700657844543
1.0,labmovil3-All-Series,784.602288722992
2.0,labmovil3-All-Series,519.1455359458923
3.0,labmovil3-All-Series,526.507241487503
4.0,labmovil3-All-Series,471.8944170475006
5.0,labmovil3-All-Series,452.30381631851196
6.0,labmovil3-All-Series,455.54545879364014
7.0,labmovil3-All-Series,467.10265040397644
8.0,labmovil3-All-Series,454.2054042816162
9.0,labmovil3-All-Series,463.022873878479
10.0,labmovil3-All-Series,484.49382734298706
11.0,labmovil3-All-Series,475.7257242202759
12.0,labmovil3-All-Series,489.04172563552856
13.0,labmovil3-All-Series,486.1435594558716
14.0,labmovil3-All-Series,505.9557044506073
15.0,labmovil3-All-Series,524.3552832603455
16.0,labmovil3-All-Series,509.2035138607025
17.0,labmovil3-All-Series,498.82505536079407
18.0,labmovil3-All-Series,514.5533211231232
19.0,labmovil3-All-Series,521.1662104129791
20.0,labmovil3-All-Series,572.0367534160614
21.0,labmovil3-All-Series,619.1183636188507
22.0,labmovil3-All-Series,719.5395240783691
23.0,labmovil3-All-Series,852.6154832839966
24.0,labmovil3-All-Series,877.3134410381317
25.0,labmovil3-All-Series,1247.6058406829834
