Iteration,Worker,Time
1.0,labmovil3-All-Series,903.2904100418091
2.0,labmovil3-All-Series,651.9927706718445
3.0,labmovil3-All-Series,525.1006548404694
4.0,labmovil3-All-Series,476.32197976112366
5.0,labmovil3-All-Series,453.80755376815796
6.0,labmovil3-All-Series,453.6419200897217
7.0,labmovil3-All-Series,466.8311595916748
8.0,labmovil3-All-Series,455.4517312049866
9.0,labmovil3-All-Series,462.39633560180664
10.0,labmovil3-All-Series,483.95043301582336
11.0,labmovil3-All-Series,479.2242248058319
12.0,labmovil3-All-Series,485.6047477722168
13.0,labmovil3-All-Series,485.04931116104126
14.0,labmovil3-All-Series,504.34643507003784
15.0,labmovil3-All-Series,520.8573439121246
16.0,labmovil3-All-Series,509.701290845871
17.0,labmovil3-All-Series,496.1983790397644
18.0,labmovil3-All-Series,510.539653301239
19.0,labmovil3-All-Series,518.1143283843994
20.0,labmovil3-All-Series,573.5021867752075
21.0,labmovil3-All-Series,619.9782960414886
22.0,labmovil3-All-Series,723.9107549190521
23.0,labmovil3-All-Series,861.4101369380951
24.0,labmovil3-All-Series,874.5908205509186
25.0,labmovil3-All-Series,1067.9197571277618
1.0,labmovil2-All-Series,968.8950612545013
2.0,labmovil2-All-Series,738.2253897190094
3.0,labmovil2-All-Series,600.5252208709717
4.0,labmovil2-All-Series,545.8252911567688
5.0,labmovil2-All-Series,524.7207763195038
6.0,labmovil2-All-Series,525.5952978134155
7.0,labmovil2-All-Series,537.3086392879486
8.0,labmovil2-All-Series,522.4550459384918
9.0,labmovil2-All-Series,534.8448646068573
10.0,labmovil2-All-Series,555.4624412059784
11.0,labmovil2-All-Series,548.7647860050201
12.0,labmovil2-All-Series,560.6128013134003
13.0,labmovil2-All-Series,565.0627655982971
14.0,labmovil2-All-Series,585.9191706180573
15.0,labmovil2-All-Series,604.3010351657867
16.0,labmovil2-All-Series,592.0022149085999
17.0,labmovil2-All-Series,582.394683599472
18.0,labmovil2-All-Series,595.6909682750702
19.0,labmovil2-All-Series,607.8933596611023
20.0,labmovil2-All-Series,676.4756557941437
21.0,labmovil2-All-Series,719.0402054786682
22.0,labmovil2-All-Series,886.1567523479462
23.0,labmovil2-All-Series,980.3932595252991
24.0,labmovil2-All-Series,1054.9194419384003
25.0,labmovil2-All-Series,1970.607069015503
1.0,labmovil4-All-Series,852.8299973011017
2.0,labmovil4-All-Series,654.187667131424
3.0,labmovil4-All-Series,531.8185994625092
4.0,labmovil4-All-Series,475.3365070819855
5.0,labmovil4-All-Series,452.06721210479736
6.0,labmovil4-All-Series,454.24631357192993
7.0,labmovil4-All-Series,467.427264213562
8.0,labmovil4-All-Series,453.44632840156555
9.0,labmovil4-All-Series,464.92048168182373
10.0,labmovil4-All-Series,484.3913915157318
11.0,labmovil4-All-Series,473.54445600509644
12.0,labmovil4-All-Series,487.60419368743896
13.0,labmovil4-All-Series,477.49415278434753
14.0,labmovil4-All-Series,503.3198847770691
15.0,labmovil4-All-Series,520.6886746883392
16.0,labmovil4-All-Series,509.7018737792969
17.0,labmovil4-All-Series,497.66225695610046
18.0,labmovil4-All-Series,512.7005157470703
19.0,labmovil4-All-Series,516.4480867385864
20.0,labmovil4-All-Series,564.5395147800446
21.0,labmovil4-All-Series,625.965968132019
22.0,labmovil4-All-Series,727.1234359741211
23.0,labmovil4-All-Series,866.5012381076813
24.0,labmovil4-All-Series,874.8346664905548
25.0,labmovil4-All-Series,1763.3686454296112
