Iteration,Mean,Std
1.0,2616.7132,0.0
2.0,1935.366,0.0
3.0,1562.8765999999998,0.0
4.0,1408.0818,0.0
5.0,1343.8258999999998,0.0
6.0,1351.1413999999997,0.0
7.0,1386.7432,0.0
8.0,1347.397,0.0
9.0,1374.1178000000002,0.0
10.0,1440.1281000000001,0.0
11.0,1417.7829000000002,0.0
12.0,1445.9719999999998,0.0
13.0,1437.3775999999998,0.0
14.0,1504.1068,0.0
15.0,1555.9819,0.0
16.0,1521.2118999999998,0.0
17.0,1489.2063,0.0
18.0,1527.6749,0.0
19.0,1544.9714,0.0
20.0,1706.6988999999999,0.0
21.0,1849.2297,0.0
22.0,2177.0704,0.0
23.0,2553.1394999999998,0.0
24.0,2623.0827,0.0
25.0,4428.6456,0.0
