Iteration,Worker,Time
1.0,Master,2616.7132
2.0,Master,1935.366
3.0,Master,1562.8765999999998
4.0,Master,1408.0818
5.0,Master,1343.8258999999998
6.0,Master,1351.1413999999997
7.0,Master,1386.7432
8.0,Master,1347.397
9.0,Master,1374.1178000000002
10.0,Master,1440.1281000000001
11.0,Master,1417.7829000000002
12.0,Master,1445.9719999999998
13.0,Master,1437.3775999999998
14.0,Master,1504.1068
15.0,Master,1555.9819
16.0,Master,1521.2118999999998
17.0,Master,1489.2063
18.0,Master,1527.6749
19.0,Master,1544.9714
20.0,Master,1706.6988999999999
21.0,Master,1849.2297
22.0,Master,2177.0704
23.0,Master,2553.1394999999998
24.0,Master,2623.0827
25.0,Master,4428.6456
