Number of features,Execution time,Predicted time
7,181.71644,11.004099999999998
8,19.56002,11.004099999999998
9,9.514145,11.004099999999998
10,9.074129999999998,11.0041
11,6.3986544444444435,11.004099999999996
12,5.061419285714286,11.004099999999998
13,5.21627875,5.096199999999999
14,4.281442558139535,4.1850999999999985
15,4.3454226470588235,4.1850999999999985
16,3.9901278787878787,3.9245999999999985
17,3.5016725714285712,3.3937000000000004
18,3.4669146666666664,3.3936999999999995
19,3.449676875,3.3937
20,3.029155882352941,2.9568000000000003
21,3.105714,2.9568000000000003
22,2.9029859090909094,2.9568000000000003
23,2.848581875,2.8361000000000005
24,2.9139886666666666,2.8245
25,2.84816875,2.8245
26,2.8565107142857147,2.8245
27,2.9062063636363638,2.6995
28,2.7294344444444443,2.6995
29,2.6494584615384613,2.6995
30,2.623675714285714,2.6017000000000006
31,2.613782,2.6017000000000006
32,2.6316014285714284,2.608599999999999
33,2.586436363636364,2.608600000000001
34,2.7281629999999994,2.6085999999999996
35,2.6563233333333334,2.6085999999999996
36,2.63556375,2.5957000000000003
37,2.7022525,2.5957000000000003
38,2.5083038461538467,2.5957000000000003
39,2.746418333333333,2.673900000000001
40,2.7058628571428573,2.6739000000000006
41,2.5758515384615386,2.5804000000000005
42,2.6004129411764705,2.580400000000001
43,2.5478,2.564400000000001
44,2.569856363636365,2.5643999999999987
45,2.7106009090909096,2.696399999999999
46,2.7394628571428576,2.696400000000001
47,2.7412366666666665,2.6964000000000006
48,2.701895,2.6964
49,2.747245,2.7022999999999997
50,2.6216866666666667,2.702299999999999
51,2.85095125,2.7023000000000006
52,2.7210428571428573,2.6925999999999997
53,2.651903333333333,2.6689000000000007
54,2.7196875,2.6689000000000003
55,2.507136,2.4859
56,2.8781325,2.6663
57,2.6754166666666666,2.5840000000000005
58,2.5754425,2.584
59,2.6867699999999997,2.5839999999999996
60,2.710816666666667,2.584000000000001
61,2.5675079999999997,2.5839
62,2.557462,2.5839
63,2.6635599999999995,2.6008999999999993
64,2.7049571428571424,2.6008999999999993
65,2.5745099999999996,2.6009000000000007
66,2.82648,2.6077000000000004
67,2.7321383333333333,2.6076999999999995
68,2.6126224999999996,2.485
70,2.5716799999999993,2.485
71,2.790743333333333,2.485
72,2.543085,2.4850000000000008
73,2.56138,2.4643999999999995
74,2.59725,2.4644
75,2.54543,2.5291
76,2.718177142857143,2.5291
77,2.571648333333333,2.4826999999999995
78,2.4531925,2.4827
79,2.677552857142857,2.4826999999999995
80,2.5783319999999996,2.5250000000000004
81,2.47536,2.5250000000000004
82,2.67521,2.5250000000000004
83,2.4064075,2.5165
84,2.5520612500000004,2.5165
85,2.53244,2.4474000000000005
86,2.47431,2.4474
87,2.481086,2.4618
88,2.3810200000000004,2.4617999999999993
89,2.5143299999999997,2.4617999999999993
90,2.6185199999999993,2.4617999999999993
91,2.588148,2.4618
92,2.6614825,2.4915
93,2.4355800000000003,2.4914999999999994
94,2.3796683333333335,2.297400000000001
95,2.4722700000000004,2.2974
97,2.53181,2.5399000000000003
98,2.57422,2.5399000000000007
99,2.64183,2.5399
100,2.774933333333333,2.5360000000000005
101,2.68468,2.5360000000000005
102,2.6094049999999998,2.5360000000000005
103,2.4388766666666664,2.4331
104,2.5260375,2.4331
105,2.1877,2.4331
106,2.24763,2.4542
108,2.3758600000000003,2.4542
109,2.656645,2.3943000000000003
110,2.437022857142857,2.394299999999999
111,2.601163333333333,2.394299999999999
112,2.5777550000000002,2.4324000000000003
113,2.67854,2.4324000000000003
114,2.47733,2.3615
115,2.6562799999999998,2.3615
116,2.4797474999999998,2.5052
119,2.491955,2.4936000000000003
120,2.3641,2.3922999999999996
121,2.3859533333333336,2.3923000000000005
123,2.42698,2.4453
124,2.3853675,2.4314
125,2.5802124999999996,2.5442
126,2.552785,2.4997
127,2.5414750000000006,2.5206999999999997
128,2.5682850000000004,2.3896999999999995
130,2.5069299999999997,2.4589
131,2.562535,2.4667
132,2.544264285714285,2.4981
133,2.74535,2.4217000000000004
134,2.72432,2.4509
135,2.5844466666666666,2.3492
137,2.5986333333333334,2.4140000000000006
138,2.5529825,2.4637
139,2.61428,2.576
141,2.5881883333333326,2.5426999999999995
143,2.699425,2.4825999999999997
144,2.68352,2.4826000000000006
146,2.32674,2.3803000000000005
148,2.3626650000000002,2.4018000000000006
150,2.71563,2.4195
151,2.47431,2.4195
152,2.5579650000000003,2.4195
153,2.5265499999999994,2.4195
154,2.40021,2.4195
155,2.480265,2.4170999999999996
156,2.499925,2.4171
158,2.5356825,2.3304
159,2.325593333333333,2.3770999999999995
160,2.49531,2.3159
161,2.52322,2.3159
162,2.411585,2.2768000000000006
164,2.66822,2.3245
165,2.43246,2.3245
166,2.31819,2.3245
167,2.4276166666666668,2.385800000000001
168,2.43857,2.3801
169,2.67514,2.3800999999999997
170,2.351325,2.3801
171,2.33434,2.4157
172,2.4596600000000004,2.4157
173,2.5301324999999997,2.4157
174,2.523485,2.4157
175,2.2356749999999996,2.39
176,2.5634866666666665,2.39
177,2.372705,2.39
178,2.388425,2.39
179,2.28072,2.39
180,2.5313299999999996,2.3867999999999996
181,2.41198,2.3867999999999996
182,2.4627683333333334,2.3868
