Number of features,Execution time,Predicted time
7,193.70496000000003,10.723699999999997
8,19.23854,10.723699999999997
9,9.325640000000002,10.723700000000001
10,8.97768,10.7237
11,6.539539444444444,10.723699999999997
12,5.095205,10.7237
13,5.22123625,5.0783
14,4.326119069767442,4.180599999999999
15,4.369054705882353,4.1987
16,4.026452727272728,3.9495
17,3.5235,3.3897999999999997
18,3.5015246666666666,3.3898
19,3.4581275000000007,3.386400000000001
20,3.0543829411764705,2.9940999999999995
21,3.1384032,2.9941000000000004
22,2.934364545454545,2.8948
23,2.9688825000000003,2.8417999999999997
24,2.9121806666666665,2.8417999999999997
25,2.9823324999999996,2.7603000000000004
26,2.826057142857143,2.7603000000000004
27,2.909186363636364,2.7602999999999986
28,2.7218727777777776,2.7603000000000004
29,2.734563076923077,2.6161
30,2.6336192857142864,2.6160999999999994
31,2.6659090000000005,2.5983000000000005
32,2.6627714285714292,2.5982999999999996
33,2.728313636363636,2.5983000000000005
34,2.724698999999999,2.6295000000000006
35,2.6591266666666664,2.6295000000000006
36,2.69802125,2.6295
37,2.8220262500000004,2.6116999999999995
38,2.5515446153846155,2.6116999999999995
39,2.834126666666667,2.6116999999999995
40,2.8017999999999996,2.6116000000000006
41,2.6415884615384613,2.6115999999999997
42,2.61016,2.5809
43,2.5535566666666667,2.5809
44,2.6150954545454543,2.6315000000000004
45,2.778510909090909,2.6315000000000004
46,2.7924628571428567,2.6741000000000006
47,2.7915455555555555,2.6740999999999997
48,2.6768500000000004,2.6813
49,2.767663999999999,2.6813000000000007
50,2.587893333333334,2.708799999999999
51,2.8736425,2.7088
52,2.77021,2.6867
53,2.675351666666667,2.6575
54,2.7398625,2.6574999999999998
55,2.5515369999999997,2.4665
56,2.943895,2.7718
57,2.716498333333333,2.6771
58,2.619515,2.5649000000000006
59,2.67754,2.5649
60,2.7438833333333337,2.5639000000000007
61,2.665956,2.5639
62,2.510164,2.5639
63,2.729331428571429,2.6226000000000003
64,2.7398271428571426,2.6226000000000003
65,2.512225,2.5584
66,2.6672199999999995,2.5584
67,2.764473333333333,2.5764000000000005
68,2.6285675,2.5764
70,2.6368059999999995,2.5809999999999995
71,2.829013333333334,2.581000000000001
72,2.565623333333333,2.4809999999999994
73,2.60919,2.5009000000000006
74,2.5202125000000004,2.5009
75,2.55706,2.5450000000000004
76,2.7471842857142854,2.544999999999999
77,2.567216666666666,2.4979999999999998
78,2.44872,2.5395
79,2.676408571428572,2.5395000000000003
80,2.5785020000000003,2.5146
81,2.4108666666666667,2.524500000000001
82,2.6426083333333334,2.5244999999999993
83,2.4163524999999995,2.5594
84,2.6008325,2.4474999999999993
85,2.58947,2.4475000000000002
86,2.48616,2.4668
87,2.4363000000000006,2.4153000000000002
88,2.5087800000000002,2.4153000000000002
89,2.4863399999999998,2.4153000000000002
90,2.7072833333333337,2.5585999999999998
91,2.5123759999999997,2.5586
92,2.6801775,2.4528
93,2.44113,2.4528
94,2.3842233333333334,2.4527999999999994
95,2.505455,2.1854
97,2.5927100000000003,2.5722999999999994
98,2.5143133333333334,2.5722999999999994
99,2.54839,2.5722999999999994
100,2.8792533333333328,2.5514
101,2.8731299999999997,2.5514
102,2.5238899999999997,2.5514
103,2.4215233333333335,2.504700000000001
104,2.5288075,2.5047
105,2.39055,2.4792999999999994
106,2.3585399999999996,2.4792999999999994
108,2.25094,2.4511
109,2.61017,2.4510999999999994
110,2.451637142857143,2.4510999999999994
111,2.6002483333333326,2.338
112,2.4321349999999997,2.338
113,2.81006,2.4538
114,2.4884375,2.4538
115,2.52867,2.4248000000000003
116,2.5990775,2.4248
119,2.5551562500000005,2.4260999999999995
120,2.51046,2.4001000000000006
121,2.359586666666666,2.4000999999999997
123,2.69535,2.4566000000000003
124,2.430485,2.3915
125,2.6615575,2.5714
126,2.4957225000000003,2.489
127,2.4364649999999997,2.4971000000000005
128,2.62075,2.393299999999999
130,2.4782699999999998,2.3393000000000006
131,2.5683525000000005,2.5279
132,2.5095400000000008,2.4975
133,2.736966666666667,2.4264
134,2.60021,2.4757
135,2.5362233333333335,2.3558999999999997
137,2.5643466666666663,2.402600000000001
138,2.5319499999999997,2.3905
139,2.6699174999999995,2.5227
141,2.6059933333333336,2.5421
143,2.7671649999999994,2.5488
144,2.5888800000000005,2.5488
146,2.329603333333333,2.3658000000000006
148,2.346515,2.3966
150,2.6048299999999998,2.3710000000000004
151,2.5032799999999997,2.3709999999999996
152,2.5851050000000004,2.4155000000000006
153,2.51128,2.4155000000000006
154,2.4289099999999997,2.4404
155,2.44219,2.4403999999999995
156,2.490535,2.3395
158,2.5086275000000002,2.3593
159,2.343106666666666,2.3593
160,2.5968,2.2950000000000004
161,2.5898000000000003,2.3838
162,2.37365,2.3838
164,2.712345,2.3802000000000003
165,2.48732,2.2927
166,2.21219,2.2927
167,2.4630466666666666,2.4009000000000005
168,2.4273724999999997,2.4009
169,2.59544,2.3815999999999997
170,2.330375,2.3816
171,2.33176,2.3957000000000006
172,2.3851400000000003,2.3956999999999997
173,2.5230725,2.4018
174,2.421655,2.4018
175,2.224775,2.3902
176,2.535143333333333,2.3901999999999997
177,2.39995,2.3902
178,2.4023700000000003,2.3902
179,2.22105,2.4029999999999996
180,2.59688,2.4030000000000005
181,2.386933333333334,2.4030000000000005
182,2.48666,2.4029999999999996
183,2.27183,2.4256
184,2.71733,2.4256
185,2.34748,2.4256
186,2.359255,2.4470000000000005
187,2.520525,2.4470000000000005
190,2.514825,2.3311
191,2.350315,2.3311
192,2.3825800000000004,2.3311
193,2.3957666666666664,2.3409999999999997
194,2.513255,2.341
195,2.5762650000000002,2.5022000000000006
197,2.459172,2.5022
198,2.5906800000000003,2.3507
199,2.4070625,2.3507
200,2.4729099999999997,2.2153
201,2.3451,2.2153
202,2.472785,2.2986999999999993
203,2.59862,2.2986999999999993
204,2.49626,2.2731
205,2.37215,2.2731
207,2.7168900000000002,2.3044000000000002
208,2.59367,2.3044000000000002
209,2.483005,2.3044000000000002
210,2.318195,2.3646000000000003
211,2.5179249999999995,2.3646000000000003
212,2.46217,2.3646000000000003
213,2.3037466666666666,2.3412
214,2.2955466666666666,2.3412
215,2.3777800000000004,2.3412
216,2.373483333333333,2.3412
218,2.4772275,2.3412
219,2.22985,2.3412
220,2.4667250000000003,2.4166000000000003
221,2.3488700000000002,2.4166
222,2.4146966666666665,2.4166000000000003
224,2.3896500000000005,2.4203
226,2.5342,2.4202999999999997
227,2.508691428571429,2.4447000000000014
229,2.4410300000000005,2.4447
231,2.2871699999999997,2.3298999999999994
234,2.5228899999999994,2.418
236,2.44035,2.418
238,2.449056666666666,2.382800000000001
239,2.65863,2.3828
240,2.4676850000000004,2.3828000000000005
241,2.5634,2.3663999999999996
242,2.6492899999999997,2.3663999999999996
243,2.4458775000000004,2.3664
245,2.25189,2.3663999999999996
248,2.490475,2.3149000000000006
249,2.4779400000000003,2.3149000000000006
250,2.16319,2.3149000000000006
252,2.31435,2.2485
253,2.40529,2.2485
255,2.431203333333333,2.3307000000000007
256,2.3510800000000005,2.3307
261,2.37099,2.3455000000000004
264,2.15543,2.3511999999999995
265,2.460705,2.3511999999999995
266,2.34734,2.3511999999999995
268,2.73936,2.3511999999999995
269,2.48556,2.3511999999999995
270,2.613465,2.3511999999999995
271,2.3219399999999997,2.3511999999999995
272,2.21788,2.3511999999999995
275,2.3903999999999996,2.3468000000000004
276,2.414113333333333,2.3468000000000004
279,2.4792899999999998,2.3145
280,2.3613925,2.3145
281,2.32918,2.3145
282,2.50162,2.3145
284,2.3815099999999996,2.3145000000000002
288,2.2746399999999998,2.3465999999999996
291,2.0362,2.3465999999999996
293,2.429556666666666,2.3466
294,2.4282,2.2625
300,2.75957,2.2625
301,2.381555,2.2625
307,2.28646,2.2176
310,2.4682900000000005,2.2175999999999996
311,2.39813,2.5405000000000006
312,2.2916350000000003,2.5405000000000006
317,2.25848,2.3122
318,2.4915499999999997,2.3122
