Number of features,Execution time,Predicted time
7,195.03921,1.8446000000000002
8,22.287899999999997,1.8446000000000002
9,9.595124999999998,1.8446000000000002
10,9.168066,1.8446
11,6.305013333333333,1.8446000000000005
12,5.148804999999999,1.8446000000000007
13,5.179794687499999,1.8446000000000002
14,4.273903720930233,1.3126
15,4.2946744117647055,1.3126
16,4.058443636363636,1.2964
17,3.445076571428572,1.2964000000000002
18,3.4807573333333335,1.3069
19,3.4332643750000003,1.3069000000000002
20,3.0175852941176466,1.3069
21,3.0797748,1.3339
22,2.936704090909091,1.3339
23,2.9111393750000003,1.3339
24,2.8970806666666666,1.3648000000000005
25,2.87066,1.3648000000000002
26,2.8064235714285717,1.3648000000000005
27,2.886753636363636,1.3648000000000005
28,2.740451666666667,1.3648000000000005
29,2.6956938461538456,1.3648000000000002
30,2.643975714285714,1.3648000000000005
31,2.6343810000000003,1.3648000000000005
32,2.6161571428571437,1.3648000000000005
33,2.640938181818182,1.3648000000000005
34,2.6913539999999996,1.3648000000000005
35,2.6162883333333324,1.3648000000000002
36,2.7471200000000002,1.3648000000000002
37,2.7005925000000004,1.4315999999999998
38,2.5281846153846153,1.4315999999999998
39,2.7363641666666667,1.4315999999999998
40,2.7934628571428566,1.4316
41,2.630720769230769,1.4315999999999998
42,2.6221694117647063,1.4315999999999998
43,2.5887266666666666,1.4316000000000006
44,2.5709145454545457,1.4227999999999998
45,2.7485972727272725,1.4227999999999998
46,2.7081914285714284,1.4227999999999998
47,2.7294944444444447,1.4228000000000003
48,2.691715,1.4228
49,2.7343420000000003,1.4228
50,2.5818499999999998,1.4228000000000003
51,2.87153625,1.4228000000000003
52,2.7751957142857133,1.4227999999999998
53,2.743688333333333,1.4053
54,2.69095,1.4053000000000002
55,2.5080880000000003,1.4053000000000007
56,2.84975,1.4053
57,2.6702283333333328,1.4053
58,2.6409437499999995,1.4053000000000002
59,2.637402,1.4053
60,2.6430766666666665,1.4052999999999993
61,2.6077959999999996,1.4053
62,2.501772,1.4053
63,2.670275714285715,1.4053
64,2.7264142857142857,1.4053
65,2.34537,1.4431000000000003
66,2.8686700000000003,1.4430999999999998
67,2.7341300000000004,1.4431
68,2.6143625,1.4431
70,2.6006959999999997,1.4431
71,2.819053333333333,1.4431000000000003
72,2.5686249999999995,1.4431
73,2.4875049999999996,1.4431000000000003
74,2.6029275000000003,1.4431
75,2.6004750000000003,1.4431000000000003
76,2.6662414285714284,1.4431
77,2.46934,1.4431
78,2.47051,1.4431
79,2.6067299999999998,1.4431
80,2.585292,1.4431
81,2.3966466666666664,1.4431000000000003
82,2.621971666666667,1.408
83,2.4862075,1.408
84,2.5069325,1.4079999999999997
85,2.520776666666667,1.4080000000000004
86,2.448176,1.408
87,2.46381,1.408
88,2.5015899999999998,1.4080000000000001
89,2.4903199999999996,1.4080000000000001
90,2.6681766666666666,1.4080000000000004
91,2.59622,1.408
92,2.634935,1.408
93,2.5841100000000004,1.408
