Iteration,Worker,Time
1.0,labmovil3-All-Series,148.13417196273804
3.0,labmovil3-All-Series,78.35996198654175
4.0,labmovil3-All-Series,94.05113482475281
6.0,labmovil3-All-Series,78.0343508720398
7.0,labmovil3-All-Series,88.81704044342041
8.0,labmovil3-All-Series,88.94807124137878
9.0,labmovil3-All-Series,82.43313145637512
10.0,labmovil3-All-Series,89.32400393486023
11.0,labmovil3-All-Series,94.01732468605042
12.0,labmovil3-All-Series,90.2726354598999
13.0,labmovil3-All-Series,97.54668521881104
14.0,labmovil3-All-Series,95.85626697540283
15.0,labmovil3-All-Series,85.59970617294312
16.0,labmovil3-All-Series,97.39481401443481
17.0,labmovil3-All-Series,93.35270071029663
18.0,labmovil3-All-Series,98.41941142082214
19.0,labmovil3-All-Series,107.82369422912598
20.0,labmovil3-All-Series,103.35720181465149
21.0,labmovil3-All-Series,119.99001336097717
22.0,labmovil3-All-Series,173.9477677345276
23.0,labmovil3-All-Series,183.5472128391266
24.0,labmovil3-All-Series,188.52103781700134
25.0,labmovil3-All-Series,1792.259884595871
1.0,labmovil2-All-Series,16.125906229019165
3.0,labmovil2-All-Series,18.617462635040283
4.0,labmovil2-All-Series,19.789726495742798
6.0,labmovil2-All-Series,16.19520354270935
7.0,labmovil2-All-Series,16.948991060256958
8.0,labmovil2-All-Series,16.875548601150513
9.0,labmovil2-All-Series,13.891449451446533
10.0,labmovil2-All-Series,14.589998006820679
11.0,labmovil2-All-Series,13.837611675262451
12.0,labmovil2-All-Series,13.88718843460083
13.0,labmovil2-All-Series,13.047867059707642
14.0,labmovil2-All-Series,13.094172477722168
15.0,labmovil2-All-Series,13.26106858253479
16.0,labmovil2-All-Series,12.942304611206055
17.0,labmovil2-All-Series,16.131773233413696
18.0,labmovil2-All-Series,16.902459383010864
19.0,labmovil2-All-Series,21.845276594161987
20.0,labmovil2-All-Series,15.346717834472656
21.0,labmovil2-All-Series,17.71980047225952
22.0,labmovil2-All-Series,15.409489154815674
23.0,labmovil2-All-Series,14.459009170532227
24.0,labmovil2-All-Series,15.360959529876709
25.0,labmovil2-All-Series,406.25491166114807
1.0,labmovil4-All-Series,147.7196569442749
3.0,labmovil4-All-Series,78.31284856796265
4.0,labmovil4-All-Series,90.83207273483276
6.0,labmovil4-All-Series,72.46269083023071
7.0,labmovil4-All-Series,86.1118745803833
8.0,labmovil4-All-Series,86.45628333091736
9.0,labmovil4-All-Series,79.34213018417358
10.0,labmovil4-All-Series,87.27917218208313
11.0,labmovil4-All-Series,87.07672452926636
12.0,labmovil4-All-Series,94.60175395011902
13.0,labmovil4-All-Series,86.47052836418152
14.0,labmovil4-All-Series,86.4427261352539
15.0,labmovil4-All-Series,169.13857865333557
16.0,labmovil4-All-Series,95.6449716091156
17.0,labmovil4-All-Series,92.5137825012207
18.0,labmovil4-All-Series,97.55349683761597
19.0,labmovil4-All-Series,88.82680177688599
20.0,labmovil4-All-Series,106.55438828468323
21.0,labmovil4-All-Series,134.21297240257263
22.0,labmovil4-All-Series,160.8582923412323
23.0,labmovil4-All-Series,177.0488166809082
24.0,labmovil4-All-Series,188.0481207370758
25.0,labmovil4-All-Series,1631.5913450717926
