Iteration,Worker,Time
1.0,labmovil2-All-Series,92.66459035873413
2.0,labmovil2-All-Series,74.2218770980835
3.0,labmovil2-All-Series,18.124594926834106
4.0,labmovil2-All-Series,19.243674755096436
5.0,labmovil2-All-Series,53.473615884780884
6.0,labmovil2-All-Series,16.547958374023438
7.0,labmovil2-All-Series,16.381993293762207
8.0,labmovil2-All-Series,16.353004455566406
9.0,labmovil2-All-Series,14.872047901153564
10.0,labmovil2-All-Series,14.013901233673096
11.0,labmovil2-All-Series,13.301613330841064
12.0,labmovil2-All-Series,13.265747547149658
13.0,labmovil2-All-Series,13.987634897232056
14.0,labmovil2-All-Series,13.1832115650177
15.0,labmovil2-All-Series,14.049854278564453
16.0,labmovil2-All-Series,13.934919118881226
17.0,labmovil2-All-Series,13.939265727996826
18.0,labmovil2-All-Series,13.120200634002686
19.0,labmovil2-All-Series,13.178155422210693
20.0,labmovil2-All-Series,13.916405200958252
21.0,labmovil2-All-Series,14.70078730583191
22.0,labmovil2-All-Series,15.522324800491333
23.0,labmovil2-All-Series,17.037251234054565
24.0,labmovil2-All-Series,17.069690227508545
25.0,labmovil2-All-Series,320.53153109550476
1.0,labmovil4-All-Series,99.37784099578857
2.0,labmovil4-All-Series,185.91065788269043
3.0,labmovil4-All-Series,94.99806046485901
4.0,labmovil4-All-Series,87.02414536476135
5.0,labmovil4-All-Series,111.08020997047424
6.0,labmovil4-All-Series,70.57212781906128
7.0,labmovil4-All-Series,87.47392749786377
8.0,labmovil4-All-Series,83.05004549026489
9.0,labmovil4-All-Series,81.94479489326477
10.0,labmovil4-All-Series,88.61684823036194
11.0,labmovil4-All-Series,81.10065913200378
12.0,labmovil4-All-Series,84.24463081359863
13.0,labmovil4-All-Series,88.05682826042175
14.0,labmovil4-All-Series,89.3743782043457
15.0,labmovil4-All-Series,97.23197865486145
16.0,labmovil4-All-Series,94.34443402290344
17.0,labmovil4-All-Series,80.17242550849915
18.0,labmovil4-All-Series,98.24119901657104
19.0,labmovil4-All-Series,90.68817377090454
20.0,labmovil4-All-Series,107.36165881156921
21.0,labmovil4-All-Series,144.66151690483093
22.0,labmovil4-All-Series,149.05236649513245
23.0,labmovil4-All-Series,246.70903611183167
24.0,labmovil4-All-Series,194.01546335220337
25.0,labmovil4-All-Series,2252.5393404960632
1.0,labmovil3-All-Series,215.42712140083313
2.0,labmovil3-All-Series,90.36792230606079
3.0,labmovil3-All-Series,94.58015847206116
4.0,labmovil3-All-Series,93.04842710494995
5.0,labmovil3-All-Series,112.15790510177612
6.0,labmovil3-All-Series,71.07261204719543
7.0,labmovil3-All-Series,86.8629002571106
8.0,labmovil3-All-Series,83.61364126205444
9.0,labmovil3-All-Series,82.71431350708008
10.0,labmovil3-All-Series,88.14519667625427
11.0,labmovil3-All-Series,84.20741486549377
12.0,labmovil3-All-Series,81.39897203445435
13.0,labmovil3-All-Series,83.10308408737183
14.0,labmovil3-All-Series,89.77565550804138
15.0,labmovil3-All-Series,94.5104455947876
16.0,labmovil3-All-Series,97.58296227455139
17.0,labmovil3-All-Series,87.47052025794983
18.0,labmovil3-All-Series,94.79368090629578
19.0,labmovil3-All-Series,89.9585554599762
20.0,labmovil3-All-Series,108.94668531417847
21.0,labmovil3-All-Series,136.60306453704834
22.0,labmovil3-All-Series,167.11817073822021
23.0,labmovil3-All-Series,219.08790707588196
24.0,labmovil3-All-Series,190.64545512199402
25.0,labmovil3-All-Series,1894.7035655975342
